time,gpu_memory_usage,model
60.562657,4.53,LN
90.563732,0.0,LN
120.566191,32.93,LN
150.56906,34.67,LN
180.571015,33.8,LN
210.572934,38.53,LN
240.575566,27.47,LN
270.579379,32.6,LN
300.581964,37.8,LN
330.583675,36.93,LN
360.584734,32.8,LN
390.585371,38.4,LN
420.585991,36.8,LN
450.587769,30.87,LN
480.589919,46.27,LN
510.590578,36.73,LN
540.59116,39.0,LN
570.592743,37.87,LN
600.594375,31.13,LN
630.595529,39.87,LN
660.596888,40.33,LN
690.599172,37.73,LN
720.601135,37.73,LN
750.601907,32.53,LN
780.602574,36.07,LN
810.60324,16.53,LN
840.603994,0.0,LN
870.605821,30.67,LN
900.608491,43.0,LN
930.610131,33.4,LN
960.610807,22.67,LN
990.611543,0.0,LN
1020.612219,0.0,LN
1050.612911,0.0,LN
1080.61368,0.0,LN
1110.614337,0.0,LN
1140.614937,0.0,LN
1170.615608,0.0,LN
1200.616249,0.0,LN
1230.616932,0.0,LN
1260.617578,0.0,LN
1290.618232,0.0,LN
1320.618863,0.0,LN
1350.619552,0.0,LN
1380.620191,0.0,LN
1410.620797,0.0,LN
1440.621393,0.0,LN
1470.621987,0.0,LN
1500.622601,0.0,LN
1530.623189,0.0,LN
1560.623859,0.0,LN
1590.624512,0.0,LN
1620.625216,0.0,LN
1650.625862,0.0,LN
1680.626433,0.0,LN
1710.627012,0.0,LN
1740.627709,0.0,LN
1770.628372,0.0,LN
1800.628976,0.0,LN
1830.62954,0.0,LN
1860.630116,0.0,LN
1890.630788,0.0,LN
1920.631431,0.0,LN
1950.632014,0.0,LN
1980.632606,0.0,LN
2010.633191,0.0,LN
2040.63377,0.0,LN
2070.634443,0.0,LN
2100.635108,0.0,LN
2130.635718,0.0,LN
2160.636298,0.0,LN
2190.636988,0.0,LN
2220.637646,0.0,LN
2250.638413,0.0,LN
2280.639157,0.0,LN
2310.639902,0.0,LN
2340.640543,0.0,LN
2370.641136,0.0,LN
2400.64173,0.0,LN
2430.642431,0.0,LN
2460.643224,0.0,LN
2490.643875,0.0,LN
2520.644461,0.0,LN
2550.645057,0.0,LN
2580.645733,0.0,LN
2610.646404,0.0,LN
2640.647002,0.0,LN
2700.964795,13.53,LN
2730.965868,53.73,LN
2760.966982,65.6,LN
2790.967525,65.13,LN
2820.968089,58.73,LN
2850.968638,61.87,LN
2880.969193,58.67,LN
2910.969827,59.8,LN
2940.970447,44.27,LN
2970.971017,62.33,LN
3000.971584,61.4,LN
3030.972181,60.93,LN
3060.973114,56.67,LN
3090.973932,61.53,LN
3120.974492,56.47,LN
3150.975116,58.73,LN
3180.975677,59.53,LN
3210.976247,60.13,LN
3240.977094,64.93,LN
3270.977965,62.53,LN
3300.978545,61.47,LN
3330.979261,59.33,LN
3360.97993,56.93,LN
3390.980486,63.0,LN
3420.981022,59.27,LN
3450.981534,59.2,LN
3480.982263,60.0,LN
3510.983006,64.13,LN
3540.983533,63.73,LN
3570.984101,27.47,LN
3631.455734,16.53,LN
3691.788684,18.27,LN
3721.7896,59.4,LN
3751.790151,57.47,LN
3781.790723,61.0,LN
3811.791331,60.47,LN
3841.792237,63.07,LN
3871.793237,60.07,LN
3901.794747,40.93,LN
3931.796052,55.33,LN
3961.796741,60.0,LN
3991.797429,61.4,LN
4021.798788,60.87,LN
4051.799909,58.93,LN
4081.8005,53.27,LN
4111.801834,60.07,LN
4141.803273,60.33,LN
4171.804881,60.47,LN
4201.806907,59.6,LN
4231.807726,54.73,LN
4261.808283,59.33,LN
4291.809082,61.6,LN
4321.809852,55.27,LN
4351.810488,61.13,LN
4381.811225,61.93,LN
4411.811944,60.4,LN
4441.813216,61.67,LN
4471.814318,54.07,LN
4501.814928,61.2,LN
4531.81555,60.8,LN
4556.209411,4.6,LN
4616.546564,19.27,LN
4646.547961,57.93,LN
4676.548604,63.4,LN
4706.549333,58.93,LN
4736.550137,62.33,LN
4766.55096,62.8,LN
4796.551981,62.47,LN
4826.55279,45.67,LN
4856.55349,62.27,LN
4886.554208,63.4,LN
4916.554938,61.4,LN
4946.555885,56.93,LN
4976.556554,61.2,LN
5006.557168,55.6,LN
5036.557909,59.07,LN
5066.558788,61.13,LN
5096.559668,63.87,LN
5126.560478,57.73,LN
5156.561215,60.93,LN
5216.562895,58.6,LN
5246.563604,59.33,LN
5276.564337,56.6,LN
5306.565044,62.27,LN
5336.565766,60.27,LN
5366.566473,51.8,LN
5396.567398,62.0,LN
5426.568327,61.93,LN
5456.569085,61.67,LN
5473.458941,4.6,LN
5533.796458,15.8,LN
5563.797223,62.4,LN
5593.797991,56.67,LN
5623.798571,58.47,LN
5653.799198,64.07,LN
5683.799914,61.6,LN
5713.80048,60.33,LN
5743.801036,44.47,LN
5773.801832,56.93,LN
5803.802659,59.2,LN
5833.803181,60.47,LN
5863.803977,62.73,LN
5893.804777,61.2,LN
5923.80548,55.87,LN
5953.806052,63.67,LN
5983.806728,57.0,LN
6013.807487,65.0,LN
6043.808695,63.93,LN
6073.809772,61.2,LN
6103.810526,61.13,LN
6133.811109,63.4,LN
6163.811691,54.0,LN
6193.812285,64.0,LN
6223.813284,62.4,LN
6253.814028,61.0,LN
6283.814665,61.0,LN
6313.81521,54.33,LN
6343.815764,59.87,LN
6373.816323,51.47,LN
6403.81707,0.0,LN
6433.817833,46.8,LN
6463.818559,61.73,LN
6493.819323,62.13,LN
6523.819839,61.93,LN
6553.820482,58.4,LN
6583.821265,55.93,LN
6613.821802,61.47,LN
6643.822572,61.27,LN
6673.823465,62.67,LN
6703.824334,61.53,LN
6733.825291,56.53,LN
6763.826263,58.8,LN
6793.827096,59.4,LN
6823.8279,61.4,LN
6853.828474,54.33,LN
6883.829112,61.8,LN
6943.830772,62.0,LN
6973.831598,59.47,LN
7003.83216,65.47,LN
7033.832779,60.33,LN
7063.83342,59.73,LN
7093.834079,58.87,LN
7123.835621,59.2,LN
7153.837791,58.87,LN
7183.839111,60.27,LN
7213.840037,60.27,LN
7243.841045,59.53,LN
7273.841829,13.2,LN
7303.843114,11.73,LN
7333.844627,60.87,LN
7363.845194,60.6,LN
7393.845719,61.07,LN
7423.846625,57.8,LN
7453.847443,61.0,LN
7483.848038,60.0,LN
7513.848671,59.33,LN
7543.849713,60.27,LN
7573.850706,60.13,LN
7603.851499,62.67,LN
7633.85205,60.33,LN
7663.853036,61.33,LN
7693.85397,57.07,LN
7723.854588,59.27,LN
7753.855523,60.73,LN
7783.856376,60.73,LN
7813.856919,61.07,LN
7843.857478,62.07,LN
7873.858069,61.27,LN
7903.858591,61.27,LN
7933.859349,59.53,LN
7963.860274,60.87,LN
7993.860878,61.73,LN
8023.861608,60.73,LN
8053.862473,61.0,LN
8083.863256,58.2,LN
8113.863807,59.27,LN
8143.864425,49.87,LN
8173.865188,0.0,LN
8203.866096,44.47,LN
8233.866695,61.0,LN
8263.867254,61.73,LN
8293.868134,59.73,LN
8323.869008,59.67,LN
8353.86973,53.53,LN
8383.870439,65.4,LN
8413.871002,61.93,LN
8443.871785,58.07,LN
8473.872744,58.0,LN
8503.873494,59.4,LN
8533.874181,60.6,LN
8563.875045,60.73,LN
8593.875917,56.2,LN
8623.876438,59.47,LN
8653.877003,61.27,LN
8683.877774,54.53,LN
8713.8785,62.27,LN
8773.879599,62.07,LN
8803.880132,60.27,LN
8833.88104,64.47,LN
8863.881884,62.2,LN
8893.88246,59.33,LN
8923.883244,60.47,LN
8983.884794,60.47,LN
9013.885657,62.0,LN
9043.886278,7.2,LN
9073.886802,12.53,LN
9103.887368,61.0,LN
9133.888273,59.47,LN
9163.889133,60.8,LN
9193.889702,57.93,LN
9223.890273,59.67,LN
9253.89083,61.4,LN
9283.891655,54.73,LN
9313.892857,61.73,LN
9343.893912,58.4,LN
9373.894512,55.4,LN
9403.895072,62.47,LN
9433.89562,63.2,LN
9463.89652,63.27,LN
9493.897361,60.8,LN
9523.898107,49.2,LN
9553.89888,61.47,LN
9583.899424,56.87,LN
9613.900391,57.47,LN
9643.901278,60.47,LN
9673.902222,61.53,LN
9703.903182,64.8,LN
9733.90396,63.13,LN
9763.904655,53.67,LN
9793.905432,61.13,LN
9823.906712,60.13,LN
9853.907878,58.0,LN
9883.908621,58.93,LN
9913.909156,43.2,LN
9943.909699,0.0,LN
9973.910273,51.53,LN
10003.911106,61.53,LN
10033.912398,60.67,LN
10063.913483,60.47,LN
10093.914116,61.4,LN
10123.91464,61.0,LN
10153.915437,57.73,LN
10183.916343,53.8,LN
10213.91706,56.07,LN
10243.918619,61.47,LN
10273.919947,61.87,LN
10303.92072,63.53,LN
10333.921863,61.53,LN
10363.922924,57.93,LN
10393.924638,64.33,LN
10423.92537,7.27,LN
10453.925968,0.47,LN
10483.926532,0.0,LN
10513.927078,0.0,LN
64.334807,0.0,RMSN
94.336567,0.0,RMSN
124.33818,28.33,RMSN
154.33871,56.67,RMSN
184.339402,59.53,RMSN
214.340527,53.0,RMSN
244.341578,57.47,RMSN
274.342301,49.53,RMSN
304.343064,52.67,RMSN
334.343843,57.67,RMSN
364.344428,57.4,RMSN
394.345023,49.53,RMSN
424.345827,49.27,RMSN
454.346888,60.13,RMSN
484.347743,55.67,RMSN
514.34858,53.8,RMSN
544.349428,51.27,RMSN
574.350244,54.2,RMSN
604.351442,62.47,RMSN
634.352687,53.07,RMSN
664.353565,63.47,RMSN
694.354556,53.2,RMSN
724.355524,54.13,RMSN
754.356499,58.33,RMSN
784.357655,49.53,RMSN
814.358479,57.0,RMSN
844.359033,56.07,RMSN
874.359651,62.6,RMSN
904.360402,52.8,RMSN
934.361151,54.93,RMSN
964.361866,57.4,RMSN
994.362429,54.8,RMSN
1024.363037,2.4,RMSN
1054.363635,22.13,RMSN
1084.364182,57.13,RMSN
1114.364773,62.13,RMSN
1144.36551,62.07,RMSN
1174.36637,53.47,RMSN
1204.367243,54.27,RMSN
1264.369397,57.0,RMSN
1294.371258,54.87,RMSN
1324.371837,57.2,RMSN
1354.372414,62.53,RMSN
1384.373007,55.6,RMSN
1414.373611,54.67,RMSN
1444.374566,54.47,RMSN
1474.375459,56.47,RMSN
1504.376443,58.13,RMSN
1534.377689,53.4,RMSN
1564.378525,55.27,RMSN
1594.379261,54.47,RMSN
1624.380327,47.73,RMSN
1654.381398,60.53,RMSN
1684.38216,55.27,RMSN
1714.38304,56.87,RMSN
1744.384433,56.27,RMSN
1774.385873,56.73,RMSN
1804.387279,55.13,RMSN
1834.38826,52.2,RMSN
1864.388868,56.6,RMSN
1894.389784,59.0,RMSN
1924.390666,50.33,RMSN
1954.391276,57.33,RMSN
1984.391863,17.4,RMSN
2014.39282,14.2,RMSN
2044.393886,53.53,RMSN
2074.395078,56.53,RMSN
2104.395911,55.0,RMSN
2134.396762,61.73,RMSN
2164.397633,60.67,RMSN
2194.3986,57.87,RMSN
2224.399532,54.73,RMSN
2254.400511,55.8,RMSN
2284.401453,60.33,RMSN
2314.402792,54.73,RMSN
2344.403685,49.53,RMSN
2374.404411,54.67,RMSN
2404.40512,60.93,RMSN
2434.405684,53.07,RMSN
2464.406202,54.73,RMSN
2494.406718,56.73,RMSN
2524.407296,56.6,RMSN
2554.407898,51.53,RMSN
2614.409175,56.33,RMSN
2644.409783,58.07,RMSN
2674.410391,54.6,RMSN
2704.411271,57.27,RMSN
2734.412485,60.67,RMSN
2764.413487,55.93,RMSN
2794.414036,59.73,RMSN
2824.414612,55.27,RMSN
2854.415209,53.27,RMSN
2884.416021,53.33,RMSN
2914.41692,58.47,RMSN
2944.417504,19.93,RMSN
2974.418083,11.53,RMSN
3004.418638,61.27,RMSN
3034.419223,54.53,RMSN
3064.419991,54.6,RMSN
3094.420792,56.07,RMSN
3120.686764,60.8,RMSN
3197.269958,19.2,RMSN
3227.270568,63.93,RMSN
3257.271198,65.13,RMSN
3287.271814,64.47,RMSN
3317.272799,62.2,RMSN
3347.27387,62.93,RMSN
3377.274621,63.4,RMSN
3407.27558,54.47,RMSN
3437.2767,60.53,RMSN
3467.277355,55.33,RMSN
3497.277973,64.53,RMSN
3527.279077,59.67,RMSN
3557.279882,64.47,RMSN
3587.280442,52.93,RMSN
3617.281032,65.33,RMSN
3647.28158,61.13,RMSN
3677.282506,62.0,RMSN
3752.339925,16.0,RMSN
3782.340584,69.93,RMSN
3812.341145,69.4,RMSN
3842.341702,64.47,RMSN
3872.342308,60.73,RMSN
3902.342944,64.27,RMSN
3932.343813,62.13,RMSN
3962.345046,53.67,RMSN
3992.346227,59.87,RMSN
4022.347577,61.07,RMSN
4052.348595,68.27,RMSN
4082.349446,57.73,RMSN
4112.350052,59.47,RMSN
4142.350658,64.87,RMSN
4172.351365,57.67,RMSN
4202.352003,57.93,RMSN
4232.352616,64.13,RMSN
4262.353157,58.8,RMSN
4292.35406,61.33,RMSN
4322.354923,59.33,RMSN
4352.355541,53.0,RMSN
4382.356222,62.07,RMSN
4412.357021,58.87,RMSN
4442.357799,64.8,RMSN
4472.358533,64.53,RMSN
4502.359641,64.4,RMSN
4532.360462,59.0,RMSN
4562.36111,22.33,RMSN
4592.361673,12.73,RMSN
4622.362234,63.4,RMSN
4652.362823,55.87,RMSN
4682.363778,60.2,RMSN
4712.364732,58.2,RMSN
4742.365624,60.27,RMSN
4772.366424,64.87,RMSN
4802.367005,68.4,RMSN
4832.367631,64.07,RMSN
4862.368352,65.67,RMSN
4892.369155,62.67,RMSN
4922.369884,64.47,RMSN
4952.370546,60.87,RMSN
4982.371161,53.73,RMSN
5012.37179,63.53,RMSN
5042.372368,55.13,RMSN
5072.373021,69.2,RMSN
5102.373851,68.27,RMSN
5132.375023,59.07,RMSN
5192.376556,59.87,RMSN
5222.377522,65.2,RMSN
5282.379378,68.4,RMSN
5312.380824,68.67,RMSN
5342.381709,58.27,RMSN
5372.382321,62.67,RMSN
5402.382968,18.0,RMSN
5432.383587,9.33,RMSN
5462.384528,67.0,RMSN
5492.385359,63.2,RMSN
5522.385963,64.07,RMSN
5552.386564,55.27,RMSN
5582.387142,64.33,RMSN
5612.387797,68.13,RMSN
5672.389052,64.33,RMSN
5702.389885,69.33,RMSN
5732.390885,59.67,RMSN
5762.392055,63.2,RMSN
5792.392968,57.6,RMSN
5822.393834,61.2,RMSN
5852.394652,65.67,RMSN
5882.395292,64.0,RMSN
5912.395919,65.13,RMSN
5942.396541,60.6,RMSN
5972.397168,51.6,RMSN
6002.398374,58.8,RMSN
6032.399375,63.13,RMSN
6062.400228,58.73,RMSN
6092.401211,67.13,RMSN
6122.402185,62.93,RMSN
6152.403019,61.53,RMSN
6182.404105,60.13,RMSN
6212.404834,63.13,RMSN
6242.405469,65.0,RMSN
6272.406092,20.6,RMSN
6302.406949,18.87,RMSN
6332.407633,62.8,RMSN
6362.408534,61.8,RMSN
6392.409336,57.73,RMSN
6422.409945,63.8,RMSN
6452.410666,58.2,RMSN
6482.411388,59.87,RMSN
6512.412085,62.47,RMSN
6542.412939,58.2,RMSN
6572.413812,63.27,RMSN
6602.414759,60.47,RMSN
6632.415645,62.87,RMSN
6662.416317,63.6,RMSN
6692.417447,53.13,RMSN
6722.418261,62.73,RMSN
6752.418881,65.13,RMSN
6782.419501,65.0,RMSN
6812.420091,58.53,RMSN
6842.420639,64.67,RMSN
6872.421255,62.6,RMSN
6902.421907,63.4,RMSN
6932.422523,66.4,RMSN
6962.423127,63.53,RMSN
6992.424163,59.27,RMSN
7022.425496,64.2,RMSN
7052.426437,65.8,RMSN
7082.427092,62.27,RMSN
7112.427749,21.8,RMSN
7142.42835,27.33,RMSN
7172.429049,63.13,RMSN
7202.429717,66.73,RMSN
7232.430485,65.0,RMSN
7262.431049,56.73,RMSN
7292.431779,64.4,RMSN
7322.432481,58.53,RMSN
7352.433051,56.0,RMSN
7382.433637,65.8,RMSN
7412.434446,56.6,RMSN
7442.435208,62.0,RMSN
7502.436431,61.2,RMSN
7532.437389,55.53,RMSN
7562.438197,65.0,RMSN
7592.438816,55.27,RMSN
7622.43944,64.47,RMSN
7652.440067,58.73,RMSN
7682.44066,63.8,RMSN
7712.441255,64.73,RMSN
7742.44183,54.07,RMSN
7772.442508,66.87,RMSN
7802.443295,63.4,RMSN
7832.443879,66.53,RMSN
7862.444746,64.27,RMSN
7892.445464,56.4,RMSN
7922.44606,65.33,RMSN
7952.446693,61.0,RMSN
7982.447284,12.87,RMSN
8012.447814,14.53,RMSN
8042.448431,63.8,RMSN
8072.449089,63.47,RMSN
8102.449697,63.47,RMSN
8132.450621,67.73,RMSN
8162.451544,58.4,RMSN
8192.452165,65.47,RMSN
8222.452784,56.67,RMSN
8252.453471,59.0,RMSN
8282.454947,64.07,RMSN
8312.456695,61.2,RMSN
8342.457796,65.53,RMSN
8372.458861,63.07,RMSN
8402.459961,62.87,RMSN
8432.460587,56.53,RMSN
8462.461278,62.87,RMSN
8492.461886,64.67,RMSN
8522.462483,62.47,RMSN
8552.463287,54.73,RMSN
8582.464229,65.87,RMSN
8612.464999,68.07,RMSN
8642.465631,66.33,RMSN
8702.466926,63.67,RMSN
8732.46777,62.8,RMSN
8762.468734,58.13,RMSN
8792.469677,63.2,RMSN
8822.47033,18.13,RMSN
8852.470957,25.8,RMSN
8882.471712,62.53,RMSN
8912.472556,62.13,RMSN
8972.474691,65.6,RMSN
9002.47554,60.27,RMSN
9032.476171,60.07,RMSN
9062.476992,65.27,RMSN
9092.477573,71.67,RMSN
9122.478248,58.8,RMSN
9152.479076,65.2,RMSN
9182.47972,64.27,RMSN
9212.480706,54.13,RMSN
9242.481761,67.2,RMSN
9272.482339,56.87,RMSN
9332.483382,0.0,RMSN
9362.483995,0.0,RMSN
9392.484614,0.0,RMSN
9400.112883,0.0,RMSN
60.235704,6.87,PNbefore
90.236474,51.2,PNbefore
120.23709,68.6,PNbefore
150.23767,67.93,PNbefore
180.238226,69.53,PNbefore
210.238782,71.4,PNbefore
240.23937,68.0,PNbefore
270.240005,68.93,PNbefore
300.240641,67.53,PNbefore
330.241326,46.87,PNbefore
360.242019,61.67,PNbefore
390.242664,68.07,PNbefore
420.24336,70.73,PNbefore
450.244284,65.6,PNbefore
480.245463,67.87,PNbefore
510.246416,52.73,PNbefore
540.24716,65.53,PNbefore
630.249083,68.87,PNbefore
660.249675,68.4,PNbefore
690.250244,68.47,PNbefore
720.250809,66.73,PNbefore
750.251391,70.2,PNbefore
780.251966,67.73,PNbefore
810.252569,69.73,PNbefore
840.25318,65.87,PNbefore
870.253832,66.33,PNbefore
900.254491,62.0,PNbefore
930.255108,65.53,PNbefore
960.255715,66.93,PNbefore
990.256342,67.27,PNbefore
1020.256952,69.07,PNbefore
1050.257555,69.4,PNbefore
1080.258154,40.07,PNbefore
1140.259386,33.4,PNbefore
1170.26013,66.53,PNbefore
1200.26068,69.87,PNbefore
1230.261253,62.73,PNbefore
1260.261852,70.93,PNbefore
1290.262481,66.73,PNbefore
1320.263282,69.2,PNbefore
1350.263858,67.6,PNbefore
1380.264446,68.6,PNbefore
1410.265005,68.67,PNbefore
1440.265539,68.6,PNbefore
1470.266105,67.93,PNbefore
1500.266662,68.6,PNbefore
1530.267303,67.73,PNbefore
1560.267963,69.73,PNbefore
1590.268668,66.0,PNbefore
1620.269435,65.73,PNbefore
1650.270018,63.8,PNbefore
1680.270577,68.0,PNbefore
1710.271143,68.13,PNbefore
1740.271735,68.6,PNbefore
1770.272313,68.0,PNbefore
1800.272854,68.8,PNbefore
1830.273433,66.73,PNbefore
1860.274041,64.33,PNbefore
1890.274638,63.4,PNbefore
1920.27524,67.73,PNbefore
1950.275813,69.0,PNbefore
1980.276379,68.07,PNbefore
2010.276933,68.07,PNbefore
2040.277503,71.07,PNbefore
2070.278065,68.13,PNbefore
